	line	token	lemma	pos
123	24	hem	hij	PD(type=pers,position=free)
124	24	dlant	dat+land	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)
125	25	Van	van	ADP(type=pre)
126	25	Limborch	Limburg	NOU-P
127	25	ontcrichten	ontkrachten	VRB(finiteness=inf)
128	25	wouden	willen	VRB(finiteness=fin,tense=past)
129	26	Datsi	dat+zij	CONJ(type=sub)+PD(type=pers,position=free)
130	26	diere	dier	NOU-C(number=sg)
131	26	hebben	hebben	VRB(finiteness=fin,tense=pres)
132	26	ontgouden	ontgelden	VRB(finiteness=pastpart)
133	27	Want	want	CONJ(type=coor)
134	27	si	zij	PD(type=pers,position=free)
135	27	bleven	blijven	VRB(finiteness=fin,tense=past)
136	27	daer	daar	ADV(type=pron)
137	27	om	om	ADV(type=pron)
138	27	ghevaen	vangen	VRB(finiteness=pastpart)
139	28	Oft	of	CONJ(type=coor)
140	28	doot	dood	AA(degree=pos,position=free)
141	28	oft	of	CONJ(type=coor)
142	28	scandelike	schandelijk	ADV(type=reg)
143	28	ontgaen	ontgaan	VRB(finiteness=pastpart)
144	29	Alsic	als+ik	CONJ(type=sub)+PD(type=pers,position=free)
145	29	hier	hier	ADV(type=pron)
146	29	na	na	ADV(type=pron)
147	29	wel	wel	ADV(type=reg)
148	29	sal	zullen	VRB(finiteness=fin,tense=pres)
149	29	segghen	zeggen	VRB(finiteness=inf)
150	30	Maer	maar	CONJ(type=coor)
151	30	ic	ik	PD(type=pers,position=free)
152	30	sal	zullen	VRB(finiteness=fin,tense=pres)
153	30	al	al	ADV(type=reg)
154	30	ute	uiten	VRB(finiteness=inf)
155	30	legghen	leggen	VRB(finiteness=inf)
156	31	Des	de	PD(type=d-p,subtype=art,position=prenom)
157	31	hertoghen	hertog	NOU-C(number=sg)
158	31	ghescienesse	geschiedenis	NOU-C(number=sg)
159	31	te	te	ADV(type=reg)
160	31	voren	voren	ADV(type=reg)
161	32	Van	van	ADP(type=pre)
162	32	dire	duur	AA(degree=pos,position=prenom)
163	32	stont	stonde	NOU-C(number=sg)
164	32	dat	dat	CONJ(type=sub)
165	32	hi	hij	PD(type=pers,position=free)
166	32	wert	worden	VRB(finiteness=fin,tense=past)
167	32	gheboren	geboren	AA(degree=pos,position=free)
168	33	Tote	tot	ADP(type=pre)
169	33	dat	dat	CONJ(type=sub)
170	33	hi	hij	PD(type=pers,position=free)
171	33	dlant	dat+land	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)
172	33	van	van	ADP(type=pre)
173	33	Limborch	Limburg	NOU-P
174	33	cochte	kopen	VRB(finiteness=fin,tense=past)
175	34	Ende	en	CONJ(type=coor)
176	34	hoe	hoe	ADV(type=reg)
177	34	dat	dat	CONJ(type=sub)
178	34	hi	hij	PD(type=pers,position=free)
179	34	doen	toen	ADV(type=reg)
180	34	sochte	zoeken	VRB(finiteness=fin,tense=past)
181	35	Die	die	PD(type=d-p,subtype=art,position=prenom)
182	35	heeren	heer	NOU-C(number=pl)
183	35	die	die	PD(type=d-p,position=free)
184	35	den	de	PD(type=d-p,subtype=art,position=prenom)
185	35	coep	koop	NOU-C(number=sg)
186	35	weerden	weren	VRB(finiteness=fin,tense=past)
187	36	Ende	en	CONJ(type=coor)
188	36	daer	daar	ADV(type=pron)
189	36	na	na	ADV(type=pron)
190	36	hoe	hoe	ADV(type=reg)
191	36	dat	dat	CONJ(type=sub)
192	36	si	zij	PD(type=pers,position=free)
193	36	hanteerden	hanteren	VRB(finiteness=fin,tense=past)
194	37	Dat	dat	PD(type=d-p,subtype=art,position=prenom)
195	37	orloghe	oorlog	NOU-C(number=sg)
196	37	doen	doen	VRB(finiteness=inf)
197	37	in	in	ADP(type=pre)
198	37	elke	elk	PD(type=indef,subtype=oth,position=prenom)
199	37	side	zijde	NOU-C(number=sg)
200	38	Ende	en	CONJ(type=coor)
201	38	na	na	ADP(type=pre)
202	38	die	die	PD(type=d-p,subtype=art,position=prenom)
203	38	waerheit	waarheid	NOU-C(number=sg)
204	38	vanden	van+de	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
205	38	stride	strijd	NOU-C(number=sg)
206	39	Ende	en	CONJ(type=coor)
207	39	al	al	PD(type=indef,position=free)
208	39	die	die	PD(type=d-p,subtype=art,position=prenom)
209	39	dade	daad	NOU-C(number=pl)
210	39	die	die	PD(type=d-p,position=free)
211	39	men	men	PD(type=pers,position=free)
212	39	bedreef	bedrijven	VRB(finiteness=fin,tense=past)
213	40	Eer	eer	CONJ(type=sub)
214	40	dien	dat	PD(type=d-p,subtype=oth,position=prenom)
215	40	hertoghe	hertog	NOU-C(number=sg)
216	40	bleef	blijven	VRB(finiteness=fin,tense=past)
217	41	Limborch	Limburg	NOU-P
218	41	dat	dat	CONJ(type=sub)
219	41	hi	hij	PD(type=pers,position=free)
220	41	nochtan	nochtan	ADV(type=reg)
221	42	Met	met	ADP(type=pre)
222	42	crachte	kracht	NOU-C(number=sg)
223	42	in	in	ADP(type=pre)
224	42	dinde	dinde	NOU-C(number=sg)
225	42	ghewan	gewinnen	VRB(finiteness=fin,tense=past)
226	43	Met	met	ADP(type=pre)
227	43	orlogen	oorlog	NOU-C(number=sg)
228	43	ende	en	CONJ(type=coor)
229	43	met	met	ADP(type=pre)
230	43	grooter	groot	AA(degree=pos,position=prenom)
231	43	eeren	eer	NOU-C(number=sg)
232	44	Ondancs	ondanks	ADP(type=pre)
233	44	vele	veel	PD(type=indef,subtype=oth,position=prenom)
234	44	grooter	groot	AA(degree=pos,position=prenom)
235	44	heeren	heer	NOU-C(number=pl)
236	45	Diet	die+het	PD(type=d-p,position=free)+PD(type=pers,position=free)
237	45	hem	hij	PD(type=pers,position=free)
238	45	wouden	willen	VRB(finiteness=fin,tense=past)
239	45	ontcrichten	ontkrachten	VRB(finiteness=inf)
240	46	Ghelijc	gelijk	CONJ(type=sub)
241	46	alsic	als+ik	CONJ(type=sub)+PD(type=pers,position=free)
242	46	hier	hier	ADV(type=pron)
243	46	na	na	ADV(type=pron)
244	46	sal	zullen	VRB(finiteness=fin,tense=pres)
245	46	dichten	dichten	VRB(finiteness=inf)
246	47	Vanden	van+de	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
247	47	beghinne	begin	NOU-C(number=sg)
248	47	al	al	ADV(type=reg)
249	47	toten	tot+de	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
250	47	inde	in+de	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
251	48	Recht	recht	NOU-C(number=sg)
252	48	alsoe	alzo	ADV(type=reg)
253	48	alsic	als+ik	CONJ(type=sub)+PD(type=pers,position=free)
254	48	vinde	vinden	VRB(finiteness=fin,tense=pres)
255	49	Die	die	PD(type=d-p,subtype=art,position=prenom)
256	49	yeeste	jeest	NOU-C(number=sg)
257	49	ter	ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
258	49	waerheit	waarheid	NOU-C(number=sg)
259	49	ende	en	CONJ(type=coor)
260	49	tbediet	het+beduid	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)
261	50	Daer	daar	ADV(type=pron)
262	50	en	ne	ADV(type=reg)
263	50	doe	doen	VRB(finiteness=fin,tense=pres)
264	50	ic	ik	PD(type=pers,position=free)
265	50	af	af	ADV(type=reg)
266	50	noch	noch	CONJ(type=coor)
267	50	toe	toe	ADV(type=reg)
268	50	niet	niet	ADV(type=reg)
269	51	Want	want	CONJ(type=coor)
270	51	God	God	NOU-P
271	51	es	zijn	VRB(finiteness=fin,tense=pres)
272	51	mijn	mijn	PD(type=poss,position=prenom)
273	51	ghetuge	getuige	NOU-C(number=sg)
274	51	dies	dies	ADV(type=reg)
275	52	Dat	dat	CONJ(type=sub)
276	52	ic	ik	PD(type=pers,position=free)
277	52	om	om	ADP(type=pre)
278	52	niemans	niemand	PD(type=indef,position=free)
279	52	verlies	verlies	NOU-C(number=sg)
280	53	Noch	noch	CONJ(type=coor)
281	53	om	om	ADP(type=pre)
282	53	niemans	niemand	PD(type=indef,position=free)
283	53	ghewin	gewin	NOU-C(number=sg)
284	54	Daer	daar	ADV(type=pron)
285	54	toe	toe	ADV(type=pron)
286	54	en	ne	ADV(type=reg)
287	54	legghe	leggen	VRB(finiteness=fin,tense=pres)
288	54	meer	meer	PD(type=indef,position=free)
289	54	noch	noch	CONJ(type=coor)
290	54	min	min	ADV(type=reg)
291	55	Dan	dan	CONJ(type=sub)
292	55	daventueren	de+avontuur	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=pl)
293	55	sijn	zijn	VRB(finiteness=fin,tense=pres)
294	55	vergaen	vergaan	VRB(finiteness=pastpart)
295	56	Want	want	CONJ(type=coor)
296	56	ik	ik	PD(type=pers,position=free)
297	56	hadde	hebben	VRB(finiteness=fin,tense=past)
298	56	sonder	zonder	ADP(type=pre)
299	56	waen	waan	NOU-C(number=sg)
300	57	Hier	hier	ADV(type=pron)
301	57	af	af	ADV(type=pron)
302	57	des	de	PD(type=d-p,subtype=art,position=prenom)
303	57	dichtens	dichten	NOU-C(number=sg)
304	57	nu	nu	ADV(type=reg)
305	57	ontboren	ontberen	VRB(finiteness=pastpart)
306	58	Maer	maar	CONJ(type=coor)
307	58	dese	deze	PD(type=d-p,subtype=oth,position=prenom)
308	58	yeeste	jeest	NOU-C(number=sg)
309	58	was	zijn	VRB(finiteness=fin,tense=past)
310	58	te	te	ADV(type=reg)
311	58	voren	voren	ADV(type=reg)
312	59	Beide	beide	PD(type=indef,position=free)
313	59	in	in	ADP(type=pre)
314	59	dietsch	Diets	NOU-C(number=sg)
315	59	ende	en	CONJ(type=coor)
316	59	oec	ook	ADV(type=reg)
317	59	in	in	ADP(type=pre)
318	59	walsch	Waals	NOU-C(number=sg)
319	60	Van	van	ADP(type=pre)
320	60	vele	veel	PD(type=indef,subtype=oth,position=prenom)
321	60	lieden	lieden	NOU-C(number=pl)
322	60	gedicht	dichten	VRB(finiteness=pastpart)
323	60	valsch	vals	AA(degree=pos,position=free)
324	61	Die	die	PD(type=d-p,position=free)
325	61	der	de	PD(type=d-p,subtype=art,position=prenom)
326	61	waerheit	waarheid	NOU-C(number=sg)
327	61	daer	daar	ADV(type=reg)
328	61	misten	missen	VRB(finiteness=fin,tense=past)
329	62	Want	want	CONJ(type=sub)
330	62	si	zij	PD(type=pers,position=free)
331	62	dystorie	distorie	NOU-C(number=sg)
332	62	niet	niet	ADV(type=reg)
333	62	en	ne	ADV(type=reg)
334	62	wisten	weten	VRB(finiteness=fin,tense=past)
335	63	Dat	dat	PD(type=d-p,position=free)
336	63	dochte	deugen	VRB(finiteness=fin,tense=past)
337	63	my	ik	PD(type=pers,position=free)
338	63	wesen	wezen	VRB(finiteness=inf)
339	63	groote	groot	AA(degree=pos,position=prenom)
340	63	scade	schade	NOU-C(number=sg)
341	64	Want	want	CONJ(type=coor)
342	64	daer	daar	ADV(type=reg)
343	64	sijn	zijn	VRB(finiteness=fin,tense=pres)
344	64	in	in	ADP(type=pre)
345	64	die	die	PD(type=d-p,subtype=art,position=prenom)
346	64	scoenste	schoon	AA(degree=sup,position=prenom)
347	64	dade	daad	NOU-C(number=pl)
348	65	Die	die	PD(type=d-p,position=free)
349	65	men	men	PD(type=pers,position=free)
350	65	van	van	ADP(type=pre)
351	65	ridderscape	ridderschap	NOU-C(number=sg)
352	65	mach	mogen	VRB(finiteness=fin,tense=pres)
353	65	vinden	vinden	VRB(finiteness=inf)
354	66	Dat	dat	PD(type=d-p,position=free)
355	66	doet	doen	VRB(finiteness=fin,tense=pres)
356	66	mi	ik	PD(type=pers,position=free)
357	66	des	des	ADV(type=reg)
358	66	gheninden	genenden	VRB(finiteness=inf)
359	67	Dat	dat	CONJ(type=sub)
360	67	ic	ik	PD(type=pers,position=free)
361	67	die	die	PD(type=d-p,subtype=art,position=prenom)
362	67	waerheit	waarheid	NOU-C(number=sg)
363	67	wille	willen	VRB(finiteness=fin,tense=pres)
364	67	bescriven	beschrijven	VRB(finiteness=inf)
365	68	Die	die	PD(type=d-p,position=free)
366	68	ic	ik	PD(type=pers,position=free)
367	68	hadde	hebben	VRB(finiteness=fin,tense=past)
368	68	achter	achteren	VRB(finiteness=inf)
369	68	laten	laten	VRB(finiteness=inf)
370	68	bliven	blijven	VRB(finiteness=inf)
371	69	En	en	CONJ(type=coor)
372	69	hadde	hebben	VRB(finiteness=fin,tense=past)
373	69	gedaen	doen	VRB(finiteness=pastpart)
374	69	van	van	ADP(type=pre)
375	69	Inghelant	Engeland	NOU-P
376	70	Vrouwe	vrouwe	NOU-C(number=sg)
377	70	Margriete	Margriet	NOU-P
378	70	alsic	als+ik	CONJ(type=sub)+PD(type=pers,position=free)
379	70	thant	tehand	ADV(type=reg)
380	71	Int	in+het	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
381	71	begin	begin	NOU-C(number=sg)
382	71	sprac	spreken	VRB(finiteness=fin,tense=past)
383	71	overluut	overluid	ADV(type=reg)
384	72	Want	want	CONJ(type=coor)
385	72	ic	ik	PD(type=pers,position=free)
386	72	ben	zijn	VRB(finiteness=fin,tense=pres)
387	72	van	van	ADP(type=pre)
388	72	sinne	zin	NOU-C(number=sg)
389	72	te	te	ADP(type=pre)
390	72	ruut	riet	NOU-C(number=sg)
391	73	Te	te	ADP(type=pre)
392	73	dichtene	dichten	VRB(finiteness=inf)
393	73	alsoe	alzo	ADV(type=reg)
394	73	hoge	hoog	AA(degree=pos,position=prenom)
395	73	saken	zaak	NOU-C(number=pl)
396	74	Want	want	CONJ(type=coor)
397	74	dese	deze	PD(type=d-p,subtype=oth,position=prenom)
398	74	ystorie	historie	NOU-C(number=sg)
399	74	willic	willen+ik	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
400	74	maken	maken	VRB(finiteness=inf)
401	75	Op	op	ADP(type=pre)
402	75	den	de	PD(type=d-p,subtype=art,position=prenom)
403	75	troest	troost	NOU-C(number=sg)
404	75	voort	voort	ADV(type=reg)
405	75	mochtan	mogtan	ADV(type=reg)
406	76	Dat	dat	CONJ(type=sub)
407	76	ic	ik	PD(type=pers,position=free)
408	76	die	die	PD(type=d-p,subtype=art,position=prenom)
409	76	yeeste	jeest	NOU-C(number=sg)
410	76	daer	daar	ADV(type=pron)
411	76	af	af	ADV(type=pron)
412	76	can	kunnen	VRB(finiteness=fin,tense=pres)
413	77	Alse	als	CONJ(type=sub)
414	77	wale	wel	ADV(type=reg)
415	77	als	als	CONJ(type=sub)
416	77	mense	men+zij	PD(type=pers,position=free)+PD(type=pers,position=free)
417	77	te	te	ADP(type=pre)
418	77	rechte	rechte	NOU-C(number=sg)
419	77	mach	mogen	VRB(finiteness=fin,tense=pres)
420	77	kinnen	kennen	VRB(finiteness=inf)
421	78	Nu	nu	ADV(type=reg)
422	78	hulpe	helpen	VRB(finiteness=fin,tense=pres)
423	78	my	ik	PD(type=pers,position=free)
424	78	God	God	NOU-P
425	78	ic	ik	PD(type=pers,position=free)
426	78	saels	zaals	ADV(type=reg)
427	78	beginnen	beginnen	VRB(finiteness=inf)
428	79	Want	want	CONJ(type=coor)
429	79	op	op	ADP(type=pre)
430	79	sijn	zijn	PD(type=poss,position=prenom)
431	79	hulpe	hulp, help	NOU-C(number=sg)
432	79	hopic	hopen+ik	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
433	79	seere	zeer	AA(degree=pos,position=free)
434	80	Want	want	CONJ(type=coor)
435	80	altoes	altoos	ADV(type=reg)
436	80	hulpt	helpen	VRB(finiteness=fin,tense=pres)
437	80	God	God	NOU-P
438	80	onse	ons	PD(type=poss,position=prenom)
439	80	heere	heer	NOU-P
440	81	Den	de	PD(type=d-p,position=free)
441	81	ghenen	gene	PD(type=d-p,position=free)
442	81	die	die	PD(type=d-p,position=free)
443	81	de	de	PD(type=d-p,subtype=art,position=prenom)
444	81	waerheit	waarheid	NOU-C(number=sg)
445	81	leeren	leren	VRB(finiteness=fin,tense=pres)
446	82	Hier	hier	ADV(type=reg)
447	82	met	met	ADV(type=reg)
448	82	willic	willen+ik	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)
449	82	ter	ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
450	82	yeesten	Jeeste	NOU-P
451	82	keeren	keren	VRB(finiteness=fin,tense=pres)
452	83	Die	die	PD(type=d-p,subtype=art,position=prenom)
453	83	Hertoge	hertog	NOU-C(number=sg)
454	83	Heinric	Heinrik	NOU-P
455	83	van	van	ADP(type=pre)
456	83	Brabant	Brabant	NOU-P
457	84	Die	die	PD(type=d-p,position=free)
458	84	der	de	PD(type=d-p,subtype=art,position=prenom)
459	84	Stadincheren	stadincheer	NOU-C(number=pl)
460	84	lant	land	NOU-C(number=sg)
461	85	Om	om	CONJ(type=sub)
462	85	dat	dat	CONJ(type=sub)
463	85	hire	hier	ADV(type=pron)
464	85	bi	bij+hij	PD(type=d-p,position=free)+ADV(type=pron)
465	85	woude	willen	VRB(finiteness=fin,tense=past)
466	85	sterken	sterken	VRB(finiteness=inf)
467	86	Die	die	PD(type=d-p,subtype=art,position=prenom)
468	86	gheloeve	geloof	NOU-C(number=sg)
469	86	der	de	PD(type=d-p,subtype=art,position=prenom)
470	86	heyleger	heilig	AA(degree=pos,position=prenom)
471	86	kerken	kerk	NOU-C(number=sg)
472	87	Onder	onderklinnen	VRB(finiteness=fin,tense=past)
473	87	brachte	brengen	VRB(finiteness=fin,tense=past)
474	87	metten	met+de	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)
475	87	cruce	kruis	NOU-C(number=sg)
476	88	Ende	en	CONJ(type=coor)
477	88	na	na	ADV(type=reg)
478	88	voor	voor	ADP(type=pre)
479	88	Coelne	Keulen	NOU-P
480	88	ende	en	CONJ(type=coor)
481	88	vore	voor	ADP(type=pre)
482	88	Nuse	Nuse	NOU-P
483	89	Met	met	ADP(type=pre)
484	89	hercrachte	herkracht	NOU-C(number=sg)
485	89	den	de	PD(type=d-p,subtype=art,position=prenom)
486	89	bisscop	bisschop	NOU-C(number=sg)
487	90	Van	van	ADP(type=pre)
488	90	Coelne	Keulen	NOU-P
489	90	sochte	zoeken	VRB(finiteness=fin,tense=past)
490	90	daer	daar	ADV(type=pron)
491	90	hi	hij	PD(type=pers,position=free)
492	90	op	op	ADP(type=pre)
493	91	Diere	die	PD(type=d-p,subtype=oth,position=prenom)
494	91	Limborcheren	limburgheer	NOU-C(number=pl)
495	91	ande	aande	ADV(type=reg)
496	91	wrac	wreken	VRB(finiteness=fin,tense=past)
497	92	Daer	daar	ADV(type=reg)
498	92	hi	hij	PD(type=pers,position=free)
499	92	Bonne	bonnen	AA(degree=pos,position=prenom)
500	92	doen	toen	ADV(type=reg)
501	92	omme	om	ADV(type=reg)
502	92	brac	breken	VRB(finiteness=fin,tense=past)
503	93	Ende	en	CONJ(type=coor)
504	93	een	een	PD(type=indef,subtype=art,position=prenom)
505	93	deel	deel	NOU-C(number=sg)
506	93	van	van	ADP(type=pre)
507	93	dien	dat	PD(type=d-p,subtype=oth,position=prenom)
508	93	lande	land	NOU-C(number=sg)
509	94	Stoerde	storen	VRB(finiteness=fin,tense=past)
510	94	met	met	ADP(type=pre)
511	94	roeve	roef	NOU-C(number=sg)
512	94	ende	en	CONJ(type=coor)
513	94	met	met	ADP(type=pre)
514	94	brande	brand	NOU-C(number=sg)
515	95	Ende	en	CONJ(type=coor)
516	95	daer	daar	ADV(type=pron)
517	95	toe	toe	ADV(type=pron)
518	95	eer	eer	CONJ(type=sub)
519	95	hi	hij	PD(type=pers,position=free)
520	95	keerde	keren	VRB(finiteness=fin,tense=past)
521	95	weder	woeden	VRB(finiteness=fin,tense=past)
522	96	Bandenrode	band+Rode	ADP(type=pre)+NOU-P
523	96	brac	breken	VRB(finiteness=fin,tense=past)
524	96	ter	hebben	VRB(finiteness=fin,tense=past)
525	96	neder	nijden	VRB(finiteness=fin,tense=past)
526	97	Daer	daar	ADV(type=reg)
527	97	hi	hij	PD(type=pers,position=free)
528	97	van	van	ADP(type=pre)
529	97	Loen	loen	NOU-C(number=sg)
530	97	den	de	PD(type=d-p,subtype=art,position=prenom)
531	97	grave	graf	NOU-C(number=sg)
532	97	Jan	Jan	NOU-P
533	98	Grave	graf	NOU-C(number=sg)
534	98	Arnouts	Arnouds	NOU-P
535	98	sone	zoon	NOU-C(number=sg)
536	98	ute	uiten	VRB(finiteness=fin,tense=past)
537	98	gewan	gewinnen	VRB(finiteness=fin,tense=past)
538	99	Die	die	PD(type=d-p,position=free)
539	99	daer	daar	ADV(type=reg)
540	99	gheleget	leggen	VRB(finiteness=fin,tense=past)
541	99	te	te	ADP(type=pre)
542	99	gisele	gijzelen	VRB(finiteness=inf)
543	99	waert	waart	ADV(type=reg)
544	100	Hi	hij	PD(type=pers,position=free)
545	100	was	zijn	VRB(finiteness=fin,tense=past)
546	100	coene	koen	AA(degree=pos,position=free)
547	100	ende	en	CONJ(type=coor)
548	100	onvervaert	onvervaard	AA(degree=pos,position=free)
549	101	Herle	herlen	VRB(finiteness=fin,tense=past)
550	101	brac	brak	NOU-C(number=sg)
551	101	ende	en	CONJ(type=coor)
552	101	Daelheem	Dalheem	NOU-P
553	101	wan	winnen	VRB(finiteness=fin,tense=past)
554	102	Dese	deze	PD(type=d-p,subtype=oth,position=prenom)
555	102	hertoge	hertog	NOU-C(number=sg)
556	102	dese	deze	PD(type=d-p,subtype=oth,position=prenom)
557	102	edele	edel	AA(degree=pos,position=prenom)
558	102	man	man	NOU-C(number=sg)
